Bath,Bed,Price,Property,Sqft
3,3,"$2,525,000",Condos,"1,768"
2.5,3,"$3,150,000",Townhomes,"2,170"
1,1,"$1,295,000",Condos,989
2,2,"$3,398,000",Condos,"1,699"
1,2,"$1,195,000",Co-op,"1,121"
1,1,"$575,000",Co-op,
1,0,"$599,000",Co-op,333
2,3,"$1,200,000",Co-op,
1,1,"$690,000",Co-op,
3.5,3,"$9,150,000",Condos,"3,147"
1,1,"$520,000",Co-op,750
1,0,"$625,000",Co-op,
1,0,"$525,000",Co-op,
2.5,3,"$1,999,000",Co-op,
1,2,"$749,000",Co-op,
2,2,"$1,500,000",Condos,"1,050"
2,3,"$925,000",Co-op,"1,325"
2.5,2,"$2,900,000",Condos,"1,535"
1,1,"$955,000",Condos,791
1,1,"$595,000",House for Sale,650
3.5,4,"$7,950,000",Condos,"3,300"
2.5,2,"$1,890,000",Condos,"1,404"
1,1,"$1,035,000",Condos,780
1,2,"$899,000",Co-op,"1,000"
1,1,"$1,099,000",Condos,768
1,0,"$330,000",Co-op,
1,1,"$499,000",Co-op,370
3.5,3,"$6,850,000",Condos,"2,252"
1.5,1,"$1,795,000",Condos,"1,115"
3,3,"$3,200,000",Condos,"2,200"
3,4,"$5,250,000",Condos,
1,2,"$1,230,000",Co-op,"1,025"
2,2,"$3,250,000",Condos,"1,684"
2,3,"$1,995,000",Condos,"1,795"
2,3,"$2,050,000",Multi-Family Home,"1,367"
3.5,3,"$4,750,000",Co-op,"2,371"
1,1,"$1,550,000",Condos,865
2,2,"$1,595,000",Condos,"1,076"
4,10,"$6,000,000",Townhomes,"5,184"
3,4,"$4,200,000",Condos,"2,047"
2,2,"$1,825,000",Condos,"1,076"
1,1,"$995,000",Condos,706
3,4,"$2,395,000",Condos,"2,073"
1,1,"$1,025,000",Condos,704
2.5,3,"$3,563,000",Condos,"1,934"
1,1,"$1,150,000",Condos,704
3,4,"$3,495,000",Condos,"1,880"
1,1,"$1,375,000",Condos,854
1,1,"$1,295,000",Condos,754
2,2,"$995,000",Co-op,
1.5,1,"$710,000",Co-op,
1,1,"$599,000",Co-op,
1,0,"$299,000",Co-op,
1,0,"$485,000",Co-op,
1,1,"$730,000",Condos,
1,1,"$639,000",Co-op,
3,2,"$3,450,000",Condos,"1,779"
1.5,1,"$695,000",Co-op,"1,000"
1.5,1,"$775,000",Condos,"1,040"
4,4,"$7,750,000",Co-op,
1,1,"$800,000",Co-op,
1,0,"$585,000",Co-op,
1,1,"$1,420,000",Co-op,
2,1,"$1,750,000",Condos,"1,339"
2,2,"$3,500,000",Co-op,
3,3,"$1,995,000",Co-op,
1.5,2,"$4,295,000",Condos,"2,427"
5,6,"$39,500,000",Co-op,
1,1,"$700,000",Condos,825
1,1,"$1,150,000",Condos,770
1,1,"$499,000",Co-op,
2,2,"$1,195,000",Co-op,"1,400"
2.5,3,"$6,200,000",Co-op,"3,600"
1,1,"$1,950,000",Condos,
1,1,"$750,000",Co-op,
1,1,"$835,000",Condos,680
2.5,2,"$1,695,000",Condos,"1,425"
2,2,"$1,595,000",Condos,"1,253"
2,1,"$2,750,000",Condos,"1,650"
2,2,"$1,899,000",Co-op,"1,450"
2,3,"$3,547,000",Condos,"1,400"
3.5,3,"$3,250,000",Condos,"2,165"
2,3,"$3,150,000",Co-op,
3,3,"$2,999,999",Co-op,"2,000"
2.5,4,"$3,295,000",Condos,"2,700"
2.5,2,"$4,850,000",Condos,"1,388"
1,1,"$2,000,000",Condos,929
3.5,3,"$3,295,000",Co-op,"2,200"
2,3,"$2,150,000",Co-op,"1,400"
1.5,1,"$1,500,000",Condos,"1,014"
2,1,"$1,750,000",Condos,"1,151"
1,0,"$775,000",Condos,579
1,2,"$1,495,000",Condos,978
3.5,3,"$17,500,000",Condos,"3,933"
1,0,"$479,000",Condos,
1,1,"$629,000",Co-op,
4,3,"$8,998,000",Condos,"2,455"
3,3,"$2,495,000",Co-op,
1,0,"$315,000",Co-op,
1,1,"$685,000",Co-op,
1,2,"$410,000",Co-op,700
2.5,3,"$11,900,000",Co-op,
2.5,3,"$12,700,000",Co-op,
1,1,"$680,000",Co-op,
1,1,"$1,200,000",Co-op,
2,2,"$1,795,000",Co-op,
2,2,"$1,950,000",Co-op,
1,1,"$700,000",Condos,712
2,3,"$1,995,000",Co-op,
3.5,4,"$3,395,000",House for Sale,"4,680"
1,,"$475,000",Co-op,
1,1,"$699,000",Co-op,
1,0,"$485,000",Co-op,450
1,3,"$675,000",Condos,"1,200"
1,1,"$829,000",Co-op,900
4.5,4,"$11,000,000",Co-op,"4,500"
2,2,"$5,999,998",Condos,
2,3,"$2,995,000",Co-op,
2.5,3,"$3,400,000",Condos,"1,933"
3.5,3,"$3,650,000",Condos,"1,774"
2,2,"$1,695,000",Condos,"1,027"
2,2,"$2,850,000",Co-op,"2,000"
2,3,"$2,699,000",Condos,"1,831"
2,3,"$2,250,000",Co-op,
1,1,"$850,000",Condos,814
2.5,2,"$2,075,000",Condos,"1,452"
2.5,2,"$5,150,000",Condos,"2,139"
2.5,3,"$2,195,000",Condos,"1,621"
6,5,"$16,250,000",Townhomes,"7,640"
2,2,"$1,800,000",Condos,"1,189"
1,0,"$950,000",Condos,542
4.5,6,"$6,750,000",House for Sale,"4,917"
1,1,"$1,180,000",Condos,770
1,1,"$1,200,000",Condos,831
1,1,"$1,350,000",Condos,827
1,1,"$1,275,000",Condos,801
2,1,"$3,100,000",Condos,"1,290"
1,1,"$475,000",Co-op,
2,2,"$1,150,000",Co-op,
1,0,"$475,000",Co-op,
1,1,"$849,000",Co-op,
1,0,"$495,000",Co-op,465
1.5,1,"$975,000",Co-op,
2,2,"$1,625,000",Condos,"1,026"
1,1,"$525,000",Co-op,800
1,0,"$425,000",Co-op,
1,1,"$775,000",Co-op,
5.5,4,"$7,950,000",Condos,"4,827"
1,0,"$419,000",Co-op,
1,1,"$790,000",Co-op,835
1,2,"$385,000",Co-op,
1.5,1,"$1,399,000",Condos,991
3.5,3,"$18,000,000",Condos,"3,401"
1,2,"$476,000",Co-op,
2,2,"$1,800,000",Condos,
1,0,"$395,000",Co-op,
1,2,"$799,000",Co-op,
1,2,"$1,850,000",Condos,"1,042"
2,2,"$1,899,000",Condos,"1,438"
3.5,3,"$3,095,000",Condos,"1,773"
1,1,"$549,000",Condos,731
1.5,1,"$1,349,000",Condos,994
3,3,"$2,795,000",Co-op,
3,3,"$3,390,000",Co-op,
1,1,"$399,000",Co-op,400
1.5,1,"$2,195,000",Co-op,
3,2,"$2,775,000",Co-op,
1,1,"$688,000",Co-op,
1.5,1,"$889,500",Co-op,785
8.5,8,"$6,995,000",Multi-Family Home,"8,066"
2,3,"$1,795,000",Condos,"1,165"
2,2,"$1,599,000",Co-op,"1,380"
3,4,"$4,395,000",Co-op,
2.5,2,"$6,700,000",Condos,"1,913"
2.5,3,"$6,250,000",Condos,"2,425"
1,1,"$1,250,000",Condos,988
3,3,"$5,395,000",Co-op,"2,400"
2,2,"$2,375,000",Condos,"1,165"
2.5,3,"$2,295,000",Co-op,"2,000"
1,1,"$1,245,000",Condos,754
1,1,"$1,250,000",Condos,737
1,1,"$750,000",Co-op,
1,1,"$535,000",Co-op,
1,3,"$785,000",Co-op,
1,1,"$690,000",Co-op,
2,2,"$2,595,000",Condos,"1,913"
1,0,"$339,000",Co-op,
3,3,"$13,495,000",Co-op,
1,0,"$400,000",Co-op,
1,0,"$1,070,000",Condos,"1,070"
1,1,"$1,050,000",Co-op,625
2,2,"$1,365,000",Condos,
1,0,"$380,000",Co-op,
1,1,"$995,000",Co-op,
2,3,"$1,490,000",Condos,"1,090"
1.5,1,"$995,000",Co-op,"1,100"
2,3,"$2,595,000",Co-op,
2,2,"$1,495,000",Condos,"1,053"
2,2,"$1,500,000",Co-op,
2.5,3,"$4,995,000",Co-op,
1.5,2,"$1,995,000",Co-op,
5,5,"$10,200,000",Co-op,
2,2,"$2,250,000",Co-op,
2,2,"$1,995,000",Condos,"1,916"
3,3,"$2,750,000",Condos,"1,695"
5.5,4,"$10,750,000",Co-op,"3,400"
3,3,"$3,999,000",Condos,"1,871"
2.5,2,"$3,450,000",Co-op,"2,400"
2,3,"$2,365,000",Co-op,
1,2,"$1,449,000",Co-op,
3,4,"$1,695,000",Condos,"1,566"
1,1,"$729,000",Co-op,826
1,1,"$850,000",Condos,767
3.5,3,"$8,150,000",Condos,"2,722"
1.5,1,"$1,675,000",Condos,960
1,0,"$1,500,000",Condos,812
2,2,"$2,550,000",Condos,"1,226"
2,2,"$1,875,000",Condos,"1,042"
3,3,"$3,010,000",Condos,"1,484"
3.5,3,"$3,554,000",Condos,"1,880"
2,2,"$2,270,000",Condos,"1,172"
1,1,"$1,310,000",Condos,627
1,1,"$1,265,000",Condos,658
1,1,"$1,450,000",Condos,764
2.5,3,"$4,150,000",Co-op,"2,100"
2,2,"$899,000",Co-op,
1,1,"$500,000",House for Sale,
1,0,"$590,000",Co-op,
1,0,"$385,000",Co-op,
1,1,"$725,000",Condos,
2,2,"$2,980,000",Condos,"1,483"
1,1,"$770,000",Co-op,
1,1,"$995,000",Condos,754
1,2,"$695,000",Co-op,
1,1,"$730,000",Co-op,
5.5,5,"$7,995,000",Townhomes,"3,780"
2,3,"$4,995,000",Co-op,
4.5,4,"$28,500,000",Condos,"3,673"
1,1,"$999,000",Condos,"1,279"
1,0,"$729,000",Condos,
1,0,"$475,000",Co-op,500
1,1,"$850,000",Co-op,800
1.5,2,"$1,750,000",Co-op,
1,,"$595,000",Co-op,
1,1,"$849,000",Co-op,
1,1,"$849,000",Condos,725
3,3,"$5,550,000",Co-op,
2,,"$2,625,000",Condo,
2,3,"$1,895,000",Co-op,
1.5,1,"$1,695,000",Condos,840
1,1,"$1,495,000",Co-op,900
3,3,"$3,150,000",Co-op,
2,2,"$3,600,000",Co-op,
2,3,"$2,975,000",Condos,
2.5,3,"$3,495,000",Co-op,
1,1,"$999,999",Condos,669
2,2,"$1,490,000",Condos,"1,246"
3,3,"$5,950,000",Condos,"1,904"
2,1,"$2,450,000",Condos,943
5,6,"$3,995,000",Townhomes,"3,245"
2,2,"$1,395,000",Condos,979
2,2,"$1,925,000",Condos,"1,065"
1,1,"$1,395,000",Condos,
1.5,1,"$3,495,000",Condos,"1,250"
2,2,"$2,400,000",Co-op,"1,625"
2,4,"$5,399,000",Condos,"3,400"
3,3,"$1,995,000",Condos,"1,417"
2,2,"$1,675,000",Condos,979
1,0,"$995,000",Condos,495
1,1,"$450,000",Co-op,
1,1,"$599,999",Co-op,
1,0,"$565,000",Co-op,
1,0,"$689,995",Condos,
3,3,"$1,895,000",Co-op,
1,0,"$300,000",Co-op,
1,1,"$539,000",Co-op,
1,0,"$450,000",Co-op,
1,1,"$949,000",Co-op,600
1,1,"$495,000",Condos,632
