Bath,Bed,Price,Property,Sqft
1,0,"$490,000",Co-op,
3,3,"$3,200,000",Condos,"1,623"
2.5,2,"$1,995,000",Condos,"1,395"
1,2,"$895,000",Co-op,
1,1,"$685,000",Co-op,
1,1,"$749,000",Co-op,
1,1,"$550,000",Co-op,
4.5,4,"$9,750,000",Condos,"3,370"
2,2,"$2,999,999",Condos,"1,443"
2.5,3,"$5,950,000",Co-op,"2,729"
1,0,"$430,000",Co-op,
3.5,3,"$3,950,000",Co-op,
2.5,4,"$1,700,000",Co-op,
1,2,"$1,295,000",Co-op,
1,1,"$625,000",Co-op,875
1,1,"$320,000",Co-op,
1,1,"$1,144,000",Condos,800
4.5,5,"$11,450,000",Condos,"3,949"
3.5,3,"$2,475,000",Co-op,"1,667"
2.5,2,"$15,000,000",Condos,"2,418"
1.5,1,"$1,550,000",Condos,
1,2,"$585,000",Condos,
2,,"$1,495,000",Condo,
1,2,"$1,500,000",Condos,896
1,1,"$1,225,000",Co-op,
1,1,"$765,000",Co-op,
1,1,"$1,175,000",Condos,740
1,1,"$799,000",Co-op,
2,1,"$1,995,000",Condos,"1,416"
2,2,"$1,775,000",Co-op,"1,250"
1.5,1,"$999,000",Condos,813
1.5,1,"$1,075,000",Condos,886
2,1,"$2,100,000",Condos,"1,290"
2,2,"$1,920,000",Condos,"1,084"
4,3,"$6,495,000",Co-op,
2,2,"$1,375,000",Co-op,
1,1,"$455,000",Co-op,
1,2,"$475,000",Co-op,
2,2,"$3,250,000",Co-op,
4.5,4,"$12,000,000",Condos,"2,909"
2,2,"$1,650,000",Condos,"1,176"
1,1,"$645,000",Co-op,
1,2,"$706,000",Co-op,"1,000"
1,0,"$659,000",Co-op,700
1,2,"$929,000",Co-op,
1,1,"$1,599,000",Condos,"1,381"
1,1,"$850,000",Co-op,600
2.5,3,"$5,400,000",Condos,
2,2,"$2,439,000",Condos,"1,453"
1,1,"$699,000",Condos,583
2,2,"$2,090,000",Condos,"1,110"
2.5,2,"$4,175,000",Condos,"1,681"
1,1,"$895,000",Condos,909
1,1,"$940,500",Condos,678
1,2,"$150,000",Co-op,
2,2,"$2,395,000",Condos,"1,319"
2,2,"$1,000,000",Co-op,"1,200"
1,0,"$685,000",Condos,
1,1,"$589,000",Co-op,
2,2,"$2,150,000",Co-op,"1,775"
1,1,"$1,049,000",Condos,700
2,1,"$1,075,000",Condos,929
1,2,"$725,000",Condos,800
1,1,"$1,295,000",Condos,655
1,1,"$925,000",Co-op,900
1.5,2,"$985,000",Condos,947
1,1,"$725,000",Co-op,700
4,4,"$3,150,000",Co-op,"2,886"
1,1,"$995,000",Condos,663
1,1,"$675,000",Co-op,600
2.5,3,"$3,340,000",Condos,"1,647"
1,0,"$785,000",Condos,525
2.5,2,"$3,150,000",Condos,"1,677"
2,2,"$1,270,000",Condos,"1,045"
3.5,4,"$5,255,000",Condos,"2,408"
1,0,"$299,000",Co-op,
1,0,"$349,000",Co-op,
2,3,"$2,400,000",Co-op,
1,,"$460,000",Condo,
1,1,"$899,000",Co-op,
1,1,"$650,000",Co-op,800
5,4,"$8,995,000",Condos,"4,350"
1,0,"$1,550,000",Condos,682
1,2,"$560,000",Co-op,
1,1,"$350,000",Co-op,
1,2,"$550,000",Co-op,
1,1,"$539,000",Co-op,
2.5,3,"$2,998,000",Condos,"1,690"
1,2,"$1,295,000",Co-op,
2,2,"$2,850,000",Co-op,"1,500"
2,2,"$2,295,000",Co-op,"1,700"
2,1,"$1,750,000",Condos,968
2,2,"$2,425,000",Condos,"1,542"
2,2,"$4,750,000",Condos,
4.5,4,"$4,650,000",Co-op,"4,200"
2,2,"$1,795,000",Co-op,
2,1,"$764,100",Condos,794
1.5,2,"$849,000",Condos,"1,175"
3,2,"$260,000",Condos,"1,394"
2.5,2,"$2,000,000",Co-op,
2,2,"$4,995,000",Condos,"1,923"
1,0,"$135,000",Condos,445
2,3,"$3,350,000",Condos,"1,611"
1.5,1,"$1,100,000",Co-op,"1,025"
2,2,"$1,750,000",Condos,"1,171"
1,1,"$515,000",Co-op,
2,2,"$2,403,000",Condos,"1,441"
1,1,"$579,000",Co-op,600
2,2,"$1,050,000",Co-op,
1,0,"$675,000",Co-op,750
2,2,"$2,385,000",Condos,"1,441"
3.5,3,"$4,395,000",Condos,"2,313"
1,0,"$649,000",Co-op,
2.5,3,"$4,750,000",Co-op,"2,900"
1,1,"$1,100,000",Co-op,"1,300"
1,1,"$729,000",Co-op,780
1,0,"$499,000",Co-op,500
1,0,"$500,000",Co-op,500
3,3,"$3,475,000",Condos,"1,859"
2,2,"$1,995,000",Co-op,
1,1,"$495,000",Co-op,
2,2,"$1,095,000",Co-op,
4.5,4,"$15,500,000",Condos,"6,000"
1,0,"$409,000",Co-op,
1,0,"$595,000",Co-op,
2,3,"$1,073,000",Co-op,"1,000"
2,3,"$2,100,000",Co-op,
2,2,"$1,095,000",Condos,
4,4,"$8,950,000",Condos,"4,400"
1,1,"$840,000",Condos,812
3,3,"$4,400,000",Co-op,
2,4,"$1,050,000",Co-op,
3,3,"$3,200,000",Co-op,
2,4,"$1,995,000",Condos,
2.5,2,"$8,225,000",Condos,"1,638"
1,0,"$409,000",Co-op,
2.5,2,"$5,800,000",Condos,"1,512"
1,2,"$995,000",Co-op,
1,2,"$1,050,000",Townhomes,
1,0,"$415,000",Co-op,
1,1,"$775,000",Condos,661
2,3,"$2,795,000",Condos,"2,100"
2,3,"$1,670,000",Co-op,
5,4,"$3,900,000",Condos,"2,947"
2.5,2,"$4,450,000",Condos,"1,674"
2,2,"$2,495,000",Condos,
1.5,1,"$2,150,000",Condos,"1,290"
2.5,3,"$1,725,000",Condos,"1,722"
6,9,"$9,995,000",Townhomes,
1.5,1,"$899,000",Condos,987
2,2,"$1,825,000",Condos,"1,128"
4.5,4,"$4,390,000",Co-op,"2,743"
3.5,2,"$1,795,000",Co-op,
1,2,"$1,099,000",Co-op,"1,100"
3.5,4,"$2,850,000",Co-op,"4,300"
2,2,"$1,218,000",Condos,"1,019"
2,2,"$2,475,000",Condos,"1,410"
2,2,"$1,775,000",Condos,"1,250"
2,3,"$1,495,000",Condos,"1,209"
1,1,"$1,250,000",Condos,555
1,1,"$1,209,000",Condos,695
1,1,"$1,399,000",Condos,722
1,1,"$1,550,000",Condos,772
1.5,3,"$1,400,000",Co-op,
1,0,"$725,000",Condos,
2,2,"$1,075,000",Co-op,
1,0,"$418,000",Co-op,
2,2,"$2,250,000",Condos,"1,152"
1,2,"$1,349,000",Co-op,
2,2,"$2,195,000",House for Sale,
2,2,"$2,295,000",Co-op,
2.5,2,"$4,500,000",Co-op,
6,6,"$8,850,000",Condos,"3,603"
3,3,"$2,198,000",Co-op,
4,4,"$5,500,000",Multi-Family Home,"3,864"
6.5+,6,"$18,500,000",House for Sale,"7,000"
2,2,"$915,000",Co-op,"1,250"
2,3,"$1,225,000",Co-op,
1,1,"$955,000",Co-op,
1,0,"$400,000",Co-op,
3,2,"$5,500,000",Condos,"1,733"
1,1,"$345,000",Co-op,700
1,1,"$699,000",Co-op,
3,2,"$2,125,000",Condos,"2,321"
1,1,"$319,000",Co-op,
3,2,"$2,875,000",Condos,"1,401"
2.5,2,"$1,899,000",Co-op,
3,3,"$2,650,000",Condos,"1,700"
1,2,"$899,000",Co-op,
1,1,"$889,000",Co-op,
1,1,"$1,195,000",Condos,868
1,1,"$640,000",Condos,675
1.5,1,"$889,000",Co-op,"1,320"
4.5,4,"$8,900,000",Condos,"3,840"
1,0,"$660,000",Condos,577
1,1,"$625,000",Co-op,
3,3,"$2,750,000",Condos,"1,874"
2,2,"$1,199,999",Co-op,
1,1,"$918,000",Co-op,
1,1,"$699,000",Co-op,
3,3,"$4,750,000",Condos,"2,125"
3,4,"$2,195,000",Co-op,"2,750"
1,1,"$1,275,000",Condos,655
2,2,"$320,000",Condos,"1,382"
2,1,"$1,100,000",Condos,843
,0,"$1,150,000",Townhomes,
1.5,1,"$3,585,000",Condos,"1,375"
1,1,"$575,000",Co-op,
1,1,"$687,000",Co-op,
1.5,1,"$1,725,000",Condos,
1,0,"$1,825,000",Condos,"1,009"
4,3,"$13,500,000",Co-op,
4.5,4,"$7,500,000",Condos,"2,924"
1,1,"$845,000",Condos,597
2,2,"$2,690,000",Condos,"1,251"
2,2,"$2,705,000",Condos,"1,246"
1,1,"$1,225,000",Condos,814
2,2,"$2,405,000",Condos,"1,127"
1,1,"$750,000",Co-op,"1,070"
1,1,"$999,999",Condos,645
2,2,"$1,450,000",Condos,
1,0,"$1,235,000",Condos,682
3.5,3,"$4,250,000",Condos,"3,100"
2,2,"$2,090,000",Condos,"1,042"
1,1,"$1,730,000",Condos,819
2,2,"$2,065,000",Condos,"1,041"
3,2,"$4,370,000",Condos,"1,804"
1,1,"$1,475,000",Condos,730
1,1,"$1,230,000",Condos,678
5.5,6,"$6,500,000",Co-op,"5,000"
1,1,"$1,585,000",Condos,697
1,1,"$1,605,000",Condos,818
3.5,3,"$4,995,000",Condos,"3,752"
1.5,1,"$1,895,000",Condos,951
1,0,"$1,499,000",Condos,"1,245"
1,1,"$1,685,000",Condos,800
1,1,"$1,335,000",Condos,655
1,0,"$925,000",Condos,503
1,1,"$1,728,000",Condos,688
2,2,"$2,835,000",Condos,"1,287"
2,2,"$2,701,000",Condos,"1,123"
2,2,"$2,500,000",Condos,"1,229"
1,1,"$1,781,000",Condos,688
2,2,"$2,300,000",Condos,"1,113"
1,1,"$1,350,000",Condos,765
1,1,"$1,314,000",Condos,723
3.5,3,"$3,950,000",Condos,"1,914"
1,1,"$1,341,000",Condos,695
1,1,"$1,695,000",Condos,736
1,1,"$1,595,000",Condos,765
1,1,"$880,000",Condos,635
2,2,"$995,000",Co-op,"1,707"
2,2,"$799,000",Co-op,"1,120"
1.5,2,"$895,000",Condos,983
2,1,"$2,495,000",Condos,
1,1,"$575,000",Condos,683
1,1,"$575,000",Condos,625
1,0,"$378,000",Co-op,
1,0,"$565,000",Condos,407
1,1,"$725,000",Co-op,
1,2,"$799,000",Co-op,"1,095"
2,2,"$1,550,000",Co-op,
3.5,4,"$9,500,000",Co-op,
1,0,"$639,000",Condos,514
1,0,"$499,000",Co-op,
1,1,"$985,000",Co-op,
1,0,"$400,000",Co-op,
1,0,"$425,000",Co-op,
2,2,"$2,480,990",Condos,"1,060"
2,2,"$1,650,000",Condos,"1,400"
2,2,"$2,180,000",Condos,"1,286"
1,1,"$1,200,000",Co-op,850
1,1,"$565,000",Co-op,
7,5,"$25,000,000",Co-op,"6,000"
1,1,"$1,165,000",Condos,694
1,1,"$1,025,000",Condos,710
1,1,"$1,995,000",Condos,850
1.5,2,"$1,200,000",Co-op,"1,200"
2.5,2,"$4,995,000",Condos,"1,733"
1,1,"$1,295,000",Condop,
2.5,2,"$2,495,000",Co-op,
3.5,3,"$9,995,000",Condos,"4,700"
2,3,"$2,100,000",Co-op,
1,1,"$1,080,000",Condos,776
4,4,"$11,500,000",Condos,"4,700"
2,2,"$1,135,000",Condos,"1,057"
1.5,1,"$1,295,000",Condos,963
1.5,3,"$1,425,000",Co-op,"1,250"
2,2,"$1,249,000",Co-op,"1,200"
2,2,"$2,495,000",Condop,"1,200"
4.5,4,"$11,000,000",Condos,"4,200"
1,1,"$798,000",Condos,635
2.5,2,"$3,995,000",Condos,"2,526"
3,3,"$4,795,000",Co-op,"2,800"
1,1,"$1,420,000",Condos,715
1,1,"$895,000",Co-op,
1,1,"$574,900",Co-op,
2,1,"$1,199,000",Co-op,
2.5,2,"$1,395,000",House for Sale,
1,0,"$725,000",Co-op,
2,2,"$1,195,000",Condos,"1,088"
1,1,"$595,000",Co-op,
1,1,"$879,000",Co-op,
2,2,"$1,250,000",Co-op,
2,2,"$1,195,000",Co-op,
1,2,"$599,000",Co-op,703
1,1,"$695,000",Co-op,
1,,"$499,000",Co-op,
2.5,3,"$1,550,000",Condos,"2,234"
2.5,4,"$2,095,000",Co-op,
4.5,4,"$4,995,000",Co-op,"3,250"
9,6,"$24,500,000",Multi-Family Home,
1,1,"$950,000",Co-op,"1,085"
1.5,2,"$999,000",Condos,825
2.5,2,"$2,449,000",Condos,"1,328"
2,2,"$2,495,000",Co-op,"1,400"
3,3,"$3,250,000",Co-op,
2.5,3,"$2,350,000",Co-op,
3,3,"$6,000,000",Co-op,
2.5,4,"$4,950,000",Co-op,
3.5+,3,"$10,500,000",Condos,"3,999"
2,2,"$1,500,000",Co-op,"1,400"
2.5,2,"$2,650,000",Co-op,"2,200"
2.5,2,"$2,150,000",Co-op,
2,2,"$1,495,000",Co-op,
2.5,4,"$4,199,000",Co-op,
3,3,"$4,995,000",Co-op,"4,053"
2,2,"$4,250,000",Co-op,"1,600"
2,2,"$1,499,000",Co-op,"1,475"
3,3,"$5,950,000",Condos,"1,904"
2.5,2,"$2,975,000",Condos,"1,564"
2.5,3,"$2,195,000",Co-op,
2,2,"$3,250,000",Condos,"1,856"
3.5,3,"$2,995,000",Townhomes,"2,705"
1,0,"$395,000",Co-op,320
2,3,"$1,495,000",Co-op,"1,500"
5.5,5,"$2,950,000",Co-op,
5,4,"$6,495,000",Co-op,"3,753"
2,1,"$2,995,000",Condos,"2,350"
4.5,3,"$15,250,000",Condos,"3,173"
1,1,"$625,000",House for Sale,
2.5,2,"$2,995,000",Co-op,
1.5,1,"$950,000",Co-op,
1,0,"$595,000",Condos,656
1,1,"$495,000",Co-op,
1,1,"$699,000",Co-op,
2,3,"$2,395,000",Condos,"1,600"
2,2,"$1,725,000",Condos,"1,061"
2.5,2,"$8,500,000",Condos,"1,830"
2,2,"$2,000,000",Condos,"1,100"
2.5,2,"$7,495,000",Condos,"1,988"
3.5,3,"$11,995,000",Co-op,
1,0,"$470,000",Condos,500
1.5,1,"$1,899,000",Condos,
7,7,"$11,750,000",Townhomes,"7,675"
2,3,"$2,450,000",House for Sale,"1,500"
1,2,"$725,000",Co-op,
3.5,3,"$2,495,000",Condos,"2,200"
2,3,"$1,600,000",Co-op,
4.5,4,"$12,950,000",Condos,"3,881"
1,1,"$875,000",Co-op,650
1,2,"$1,100,000",Condos,922
3,3,"$3,950,000",Condos,"2,440"
3,4,"$4,335,750",Condos,"1,797"
1,19,"$4,650,000",Condos,"4,500"
3.5,3,"$2,850,000",Condos,"3,707"
2.5,2,"$3,850,000",Condos,"2,113"
2,2,"$1,400,000",Co-op,
2,2,"$1,645,000",Co-op,
2,3,"$1,999,999",Condos,"1,351"
1,1,"$1,500,000",Condos,847
1,1,"$535,000",Co-op,600
2,2,"$2,225,000",Condos,"1,600"
2,2,"$1,895,000",Condos,"1,029"
1,0,"$565,000",Condos,429
1,1,"$759,000",Co-op,750
1,0,"$650,000",Condos,821
6.5,6,"$9,900,000",Townhomes,"6,093"
2.5,3,"$3,280,000",Condos,"1,839"
1,1,"$1,305,000",Condos,801
1,1,"$1,220,000",Condos,770
1,0,"$960,000",Condos,542
1,1,"$1,250,000",Condos,709
8,6,"$50,000,000",House for Sale,"10,400"
2,2,"$3,300,000",Condos,"1,175"
2,2,"$2,275,000",Condos,
3,3,"$2,690,000",Condos,"1,810"
5.5,5,"$14,000,000",Condos,"6,280"
4.5,3,"$4,900,000",Co-op,
1,1,"$899,000",Condos,
2.5,2,"$2,800,000",Co-op,
4,3,"$7,495,000",Condos,"2,863"
2,2,"$2,795,000",Co-op,
1,0,"$599,000",Co-op,
3,4,"$5,975,000",Co-op,"3,000"
2,2,"$2,795,000",Condos,"1,661"
2,2,"$1,995,000",Condos,
3.5,3,"$8,000,000",Condos,"2,688"
2,2,"$1,995,000",Co-op,
1.5,3,"$745,000",Condos,958
2,2,"$2,995,000",Condos,
2,2,"$10,000,000",Co-op,
1,1,"$509,000",Co-op,
1,2,"$929,000",Co-op,
2.5,2,"$3,345,000",Condos,"1,464"
1.5,1,"$795,000",Co-op,"1,009"
2.5,2,"$2,200,000",Co-op,"2,000"
3,2,"$3,500,000",Co-op,"2,800"
3,3,"$3,500,000",Condos,"1,859"
2.5,3,"$1,895,000",Condos,"1,716"
1,1,"$1,275,000",Co-op,
1,1,"$249,000",Co-op,350
1,1,"$550,000",Co-op,
2,2,"$2,395,000",Condos,"1,400"
1,1,"$590,000",Co-op,
2,2,"$1,160,000",Condos,954
3,3,"$1,895,000",Co-op,
3,4,"$5,950,000",Co-op,
2.5,2,"$1,775,000",Condos,"1,308"
1.5,1,"$1,495,000",Condos,"1,225"
3.5,3,"$6,900,000",Condos,"2,241"
3,3,"$5,995,000",Condos,"2,691"
8,8,"$24,900,000",Townhomes,"8,760"
1,2,"$1,249,000",Co-op,"1,252"
2,2,"$1,260,012",Condos,963
1,2,"$675,000",Co-op,825
1,1,"$1,099,000",Co-op,
,0,"$995,000",Condos,
1.5,2,"$995,000",Co-op,
2,2,"$1,275,000",Co-op,
2,3,"$1,735,000",Co-op,
1,1,"$745,000",Co-op,
3,3,"$2,899,999",Co-op,
4.5,3,"$22,500,000",Condos,"3,500"
3,2,"$2,400,000",Co-op,
5.5,3,"$25,750,000",Condos,"3,491"
2,2,"$825,000",Co-op,800
3,3,"$1,895,000",Co-op,
1.5,1,"$2,240,000",Condos,"1,290"
1,0,"$588,000",Condos,
1,,"$439,000",Co-op,
2,0,"$2,800,000",Condos,"2,300"
5.5+,6,"$3,999,000",Co-op,"4,580"
2,2,"$2,795,000",Condos,"1,568"
1,1,"$960,000",Condos,698
1,2,"$1,100,000",Co-op,"1,000"
3.5,3,"$3,000,000",Co-op,"2,400"
2.5,2,"$5,495,000",Condos,"1,624"
1,0,"$650,000",Condos,475
2,2,"$1,715,000",Condos,"1,235"
1,0,"$359,000",Co-op,450
3,3,"$7,295,000",Condos,"2,758"
1,0,"$1,295,000",Condos,"1,000"
4.5,5,"$6,495,000",Co-op,"5,000"
3.5,3,"$9,000,000",Condos,"2,815"
2,2,"$1,695,000",Co-op,
4,3,"$5,750,000",Co-op,
5.5,5,"$12,450,000",Condos,"4,205"
2,1,"$1,995,000",Condos,"1,122"
3.5,4,"$15,900,000",Co-op,"4,900"
4,4,"$8,750,000",Townhomes,"6,000"
1.5,1,"$1,985,000",Condos,"1,145"
3.5,3,"$4,950,000",Condos,"2,244"
2,2,"$1,695,000",Condos,"1,134"
2,2,"$2,100,000",Condos,"1,106"
3,2,"$3,475,000",Condos,"2,087"
1,1,"$995,000",Condos,609
1,1,"$992,000",Condos,609
1,1,"$1,095,000",Condos,609
6,7,"$12,900,000",Townhomes,"8,000"
1,1,"$1,188,000",Condos,640
2,2,"$2,895,000",Co-op,
5,4,"$18,000,000",Condos,"5,350"
1.5,2,"$1,199,000",Condos,
3,3,"$2,000,000",Condos,"1,810"
1,1,"$545,000",Co-op,
3,4,"$2,595,000",Co-op,
2.5,2,"$2,925,000",Condos,"1,750"
3,2,"$3,495,000",Co-op,"2,600"
1,,"$710,000",Condos,718
1,0,"$459,900",Co-op,450
4.5,4,"$8,950,000",Condos,"4,600"
2,2,"$1,750,000",Co-op,
4.5,5,"$8,950,000",Townhomes,"5,492"
2,2,"$2,250,000",Co-op,"1,500"
2,2,"$2,250,000",Condos,"1,244"
1,1,"$600,000",Co-op,
2,2,"$2,500,000",Condos,"1,454"
2,2,"$1,725,000",Condos,"1,411"
3,5,"$3,750,000",Co-op,"5,000"
1,0,"$315,000",Co-op,
3,2,"$4,595,000",Condos,"2,144"
1,1,"$670,000",Co-op,
3,3,"$1,995,000",Condos,"1,615"
5,4,"$8,395,000",Condos,"3,575"
2,2,"$1,625,000",Condos,"1,024"
3.5,3,"$5,750,000",Condos,"2,146"
1,2,"$365,000",Co-op,
3,3,"$3,195,000",Condos,"1,776"
2,2,"$1,970,000",Co-op,"1,100"
1,1,"$800,000",Co-op,
2,3,"$1,599,000",Co-op,
2,2,"$1,399,000",Co-op,"1,400"
2,2,"$1,970,000",Co-op,"1,139"
3.5,4,"$13,500,000",Condos,"4,017"
2,3,"$2,295,000",Condos,"1,162"
3.5,3,"$7,940,000",Condos,"2,244"
3,3,"$2,850,000",Co-op,
2,2,"$1,195,000",Condos,"1,130"
8,8,"$11,500,000",Multi-Family Home,"5,600"
1,1,"$899,000",Condos,633
2.5,2,"$2,150,000",Condos,"1,600"
3.5,3,"$4,250,000",Condos,"2,180"
1,1,"$1,195,000",Condos,566
1,1,"$1,100,000",Condos,846
3.5,3,"$8,950,000",Condos,"3,924"
1,3,"$699,000",Condos,
2.5,2,"$2,875,000",Condos,"1,750"
2.5,3,"$4,275,000",Condos,"2,236"
2.5,3,"$4,025,000",Condos,"2,256"
2,1,"$2,300,000",Condos,"1,459"
2.5,3,"$2,199,000",Condos,"1,441"
2,2,"$895,000",Co-op,
4.5,4,"$12,160,000",Condos,"4,480"
1,0,"$599,000",Co-op,
1,1,"$599,000",Co-op,710
4.5,4,"$8,625,000",Condos,"3,129"
2,2,"$1,780,000",Condos,"1,273"
1,1,"$715,000",Co-op,
1,1,"$625,000",Co-op,
4.5,4,"$8,250,000",Condos,"3,000"
3,3,"$2,200,000",Co-op,
2,2,"$1,239,000",Co-op,
1.5,1,"$1,675,000",Condos,915
1,1,"$1,035,000",Condos,645
1,2,"$599,000",Co-op,
3.5,3,"$5,495,000",Condos,"2,442"
1,1,"$750,000",Co-op,
1,1,"$870,000",Condos,645
2.5,2,"$2,680,000",Co-op,"1,400"
5,5,"$9,775,000",Co-op,"4,038"
1,2,"$995,000",Condos,744
4.5,4,"$7,050,000",Condos,"3,001"
2.5,2,"$2,470,000",Co-op,"1,406"
1,1,"$1,050,000",Condos,903
2.5,3,"$3,515,000",Condos,"1,934"
1,1,"$875,000",Condo,
2,1,"$1,225,000",Condos,"1,011"
1,2,"$1,095,000",Condos,"1,090"
1,1,"$360,000",Co-op,750
2,2,"$1,395,000",Co-op,"1,250"
2,1,"$819,000",Condos,794
2,,"$1,395,000",Condo,
1,2,"$1,500,000",Condos,971
1,1,"$899,000",Co-op,695
1,1,"$1,039,000",Condos,729
3,2,"$2,190,000",Condos,"1,417"
1,1,"$1,197,000",Condos,695
3,3,"$3,950,000",Condos,"2,290"
3,3,"$2,745,000",Co-op,
1,2,"$150,000",Co-op,
1,2,"$695,000",Co-op,
7,7,"$19,500,000",Condos,"6,400"
2.5,2,"$1,975,000",Condos,"1,430"
1,0,"$425,000",Co-op,
1,1,"$825,000",Co-op,
3,4,"$3,200,000",Condos,"2,150"
1,1,"$769,000",Co-op,
2.5,3,"$3,195,000",Co-op,
4.5,4,"$9,850,000",Condos,"2,977"
2.5,2,"$1,990,000",Co-op,
1,1,"$1,090,000",Condos,606
2.5,2,"$16,000,000",Condos,"2,532"
1,1,"$595,000",House for Sale,
2.5,2,"$7,000,000",Condos,"1,708"
1,0,"$495,000",Co-op,
2,2,"$1,590,000",Co-op,
1,1,"$599,000",Co-op,
1,1,"$600,000",Co-op,
2,2,"$2,950,000",Co-op,
3,2,"$3,500,000",Condos,"1,752"
1.5,1,"$1,150,000",Co-op,
2,4,"$2,195,000",Co-op,
1,1,"$1,395,000",Co-op,
1,1,"$1,025,000",Co-op,
1,0,"$630,000",Co-op,
5.5,4,"$5,650,000",Co-op,
3,3,"$3,650,000",Co-op,
2.5,2,"$4,195,000",Condos,"1,513"
2,2,"$1,950,000",Condos,"1,209"
2.5,2,"$1,596,400",Condos,"1,228"
2,2,"$1,275,000",Co-op,
2,1,"$1,325,000",Co-op,
1,2,"$1,150,000",Co-op,
2,2,"$1,795,000",Condos,"1,385"
1,2,"$815,000",Co-op,950
1.5,1,"$1,295,000",Condos,805
1,2,"$1,299,000",Condos,"1,174"
2,2,"$1,160,000",Condos,
1,0,"$1,020,000",Condos,542
1,1,"$1,160,000",Condos,770
1,0,"$1,000,000",Condos,542
1,1,"$1,210,000",Condos,770
4.5,3,"$30,000,000",Condos,"4,538"
6.5,5,"$29,500,000",Condos,"5,937"
1,0,"$500,000",Condo,
4.5,3,"$22,000,000",Condos,"4,500"
4.5,4,"$24,500,000",Condos,"5,252"
2,2,"$2,280,000",Condos,"1,300"
2,2,"$1,250,000",Co-op,
6.5,4,"$32,000,000",Condos,"5,211"
2,3,"$1,050,000",Co-op,
2,2,"$649,000",Co-op,
1,0,"$329,000",Co-op,
2,2,"$1,300,000",Co-op,
4,4,"$18,950,000",Condos,"3,594"
4.5,4,"$5,400,000",Condos,"2,502"
2.5,2,"$2,350,000",Condos,"1,221"
3.5,3,"$10,175,000",Condos,"3,282"
2,2,"$1,498,500",Condos,
4.5,4,"$19,695,000",Condos,"4,336"
3.5,3,"$4,320,000",Condos,"1,915"
4.5,4,"$9,750,000",Condos,"2,844"
4.5,4,"$19,450,000",Condos,"5,991"
1,1,"$599,000",Co-op,
1,1,"$695,000",Co-op,
2.5,3,"$6,295,000",Condos,"2,425"
1,0,"$399,000",Co-op,
4.5,4,"$8,200,000",Condos,"2,811"
10,5,"$29,500,000",Townhomes,"9,600"
2,2,"$1,550,000",Condos,
1,0,"$695,000",Condos,441
3.5,3,"$7,950,000",Condos,"2,446"
3.5,3,"$8,495,000",Condos,"2,445"
3,3,"$12,500,000",Co-op,
3.5,3,"$10,495,000",Condos,"2,996"
2.5,2,"$2,445,000",Co-op,
2,2,"$2,199,000",Condos,"1,221"
3,3,"$6,390,000",Condos,"2,221"
6.5,6,"$12,995,000",Multi-Family Home,"7,500"
4.5,4,"$6,950,000",Condos,"3,211"
9,8,"$14,900,000",Townhomes,"8,524"
1.5,1,"$1,790,000",Condos,"1,356"
2.5,2,"$4,360,000",Condos,"1,464"
2.5,3,"$4,485,000",Condos,"2,127"
4,3,"$3,995,000",Condos,"2,025"
4,3,"$4,225,000",Condos,"2,025"
1,1,"$415,000",Co-op,
1,1,"$635,000",Co-op,
1,1,"$450,000",Co-op,
1,1,"$735,000",Co-op,
1,1,"$585,000",Co-op,600
1,1,"$1,300,000",House for Sale,
2,2,"$2,000,000",Condos,"1,240"
4.5,4,"$25,000,000",Townhomes,"5,704"
1,0,"$410,000",Co-op,
1,1,"$620,000",Co-op,
2,3,"$2,150,000",Co-op,
2,2,"$1,650,000",Condos,"1,050"
1,1,"$269,000",Co-op,
2,2,"$1,850,000",Condos,"1,100"
1,1,"$525,000",Co-op,800
1,2,"$999,000",Co-op,
2,2,"$2,500,000",Co-op,"2,125"
3,3,"$2,500,000",Co-op,
2,2,"$1,575,000",Co-op,"1,650"
1,2,"$1,095,000",Co-op,
1,0,"$305,000",Co-op,
2,2,"$1,450,000",Co-op,"1,400"
1,1,"$780,000",Co-op,
1,1,"$1,095,000",Condos,
2,2,"$1,249,000",Co-op,"1,325"
3,3,"$2,495,000",Condos,"1,625"
2,2,"$3,050,000",Condos,"1,469"
3.5,3,"$8,950,000",Condos,"4,869"
1,1,"$2,200,000",Condos,"1,038"
1,2,"$2,225,000",Condos,"1,138"
1.5,1,"$999,999",Condos,770
2,2,"$1,725,000",Condos,
2,2,"$1,675,000",Condos,
5.5,7,"$3,395,000",Townhomes,"4,600"
1,0,"$425,000",Co-op,
1,1,"$700,000",Co-op,635
1,1,"$1,315,000",Co-op,
1,2,"$925,000",Co-op,
3,3,"$5,383,000",Condos,"1,679"
4.5,4,"$12,985,990",Condos,"3,645"
2.5,2,"$2,275,000",Condos,"1,302"
3.5,3,"$6,650,000",Condos,"2,653"
1,2,"$1,195,000",Co-op,"1,100"
1,1,"$1,050,000",Condos,801
2,3,"$425,000",Co-op,
1,0,"$339,000",Co-op,
1,0,"$389,000",Co-op,
1,1,"$795,000",Condos,892
1,1,"$429,900",Co-op,648
2.5,2,"$1,650,000",House for Sale,
1,1,"$725,000",Co-op,
1,1,"$775,000",Condos,
2,2,"$1,485,000",Co-op,
1,1,"$598,000",Co-op,
1,1,"$675,000",Co-op,
1,1,"$425,000",Co-op,
1,0,"$495,000",Co-op,
2,3,"$2,195,000",Co-op,
